representative	product	locus_tag
VNG_0132C	DUF309 family protein	VNG_0132C,VNG_RS00535,VNG0132C
VNG_0133G	replication protein A	VNG_0133G,VNG_RS00545,VNG0133G
VNG_0134G	archaeal histone	VNG_0134G,VNG_RS00550,VNG0134G
VNG_0136G	HdaI-type histone deacetylase	VNG_0136G,VNG_RS00555,VNG0136G
VNG_0137a	small CPxCG-related zinc finger protein	VNG_0137a,VNG_RS00575
VNG_0137G	tRNA adenylyltransferase, CCA-adding	VNG_0137G,VNG_RS00560,VNG0137G
VNG_0138H	homolog to HGPV1-ORF14 (nonfunctional)	VNG_0138H,VNG_RS00580,VNG0138H
VNG_0139H	uncharacterized protein	VNG_0139H,VNG_RS13245,VNG0139H
VNG_0140H	XerC/D-like integrase (nonfunctional)	VNG_0140H,VNG_RS13905,VNG0140H
VNG_0141H	uncharacterized protein	VNG_0141H,VNG_RS00585,VNG0141H
VNG_0142C	TrmB family transcription regulator	VNG_0142C,VNG_RS00590,VNG0142C
VNG_0143H	uncharacterized protein	VNG_0143H,VNG0143H
VNG_0144H	DUF302 family protein	VNG_0144H,VNG_RS00595,VNG0144H
VNG_0146H	HTH domain protein	VNG_0146H,VNG_RS00600,VNG0146H
VNG_0147C	NikR family transcription regulator	VNG_0147C,VNG_RS00605,VNG0147C
VNG_0148H	uncharacterized protein (nonfunctional)	VNG_0148H,VNG_RS13910,VNG0148H
VNG_0149G	P-type transport ATPase (probable substratezinc/cadmium)	VNG_0149G,VNG_RS00610,VNG0149G
VNG_0150H	homolog to cytochrome c-type biogenesis proteinCcdA	VNG_0150H,VNG_RS00615,VNG0150H
VNG_0151C	thioredoxin	VNG_0151C,VNG_RS00620,VNG0151C
VNG_0152G	SCO1/SenC/PrrC family protein	VNG_0152G,VNG_RS00625,VNG0152G
VNG_0153C	uncharacterized protein	VNG_0153C,VNG_RS00630,VNG0153C
VNG_0154G	bis-gamma-glutamylcystine reductase	VNG_0154G,VNG_RS00635,VNG0154G
VNG_0156C	HTH-10 family transcription regulator	VNG_0156C,VNG_RS00640,VNG0156C
VNG_0157G	major facilitator superfamily transport protein	VNG_0157G,VNG_RS00645,VNG0157G
VNG_0158G	2-keto-3-deoxygluconate kinase	VNG_0158G,VNG_RS00650,VNG0158G
VNG_0159G	DNA mismatch repair protein MutL	VNG_0159G,VNG_RS00655,VNG0159G
VNG_0160a	small CPxCG-related zinc finger protein	VNG_0160a,VNG_RS13915
VNG_0160G	sensor/bat box HTH-10 family transcriptionregulator	VNG_0160G,VNG_RS00660,VNG0160G
VNG_0161G	glutamate dehydrogenase (NAD)	VNG_0161G,VNG_RS00665,VNG0161G
VNG_0162G	acyl-CoA synthetase	VNG_0162G,VNG_RS00670,VNG0162G
VNG_0163G	DNA mismatch repair protein MutS	VNG_0163G,VNG_RS00675,VNG0163G
VNG_0164G	HypE family protein	VNG_0164G,VNG_RS00680,VNG0164G
VNG_0166G	proteasome alpha subunit	VNG_0166G,VNG_RS00685,VNG0166G
VNG_0167H	thioredoxin	VNG_0167H,VNG_RS00690,VNG0167H
VNG_0168H	DNA-directed RNA polymerase epsilon subunit	VNG_0168H,VNG_RS00695,VNG0168H
VNG_0170C	thioredoxin domain protein	VNG_0170C,VNG_RS00700,VNG0170Cm
VNG_0171C	endonuclease NucS	VNG_0171C,VNG_RS00705,VNG0171C
VNG_0172G	DNA mismatch repair protein MutS	VNG_0172G,VNG_RS00710,VNG0172G
VNG_0174G	transport protein (probable substrate cationicamino acids)	VNG_0174G,VNG_RS00715,VNG0174G
VNG_0175G	TrkA domain protein	VNG_0175G,VNG_RS00720,VNG0175G
VNG_0176H	GNAT family acetyltransferase	VNG_0176H,VNG_RS00725,VNG0176H
VNG_0177G	50S ribosomal protein L15e	VNG_0177G,VNG_RS00730,VNG0177G
VNG_0178H	homolog to restriction system mrr	VNG_0178H,VNG_RS00735,VNG0178H
VNG_0179C	RIO-type serine/threonine protein kinase Rio2	VNG_0179C,VNG_RS00740,VNG0179C
VNG_0180G	halorhodopsin	VNG_0180G,VNG_RS00745,VNG0180G
VNG_0181G	lipoate--protein ligase domain protein	VNG_0181G,VNG_RS00750,VNG0181G
VNG_0183G	endonuclease 4	VNG_0183G,VNG_RS00755,VNG0183G
VNG_0184H	probable S-adenosylmethionine-dependentmethyltransferase	VNG_0184H,VNG_RS00760,VNG0184H
VNG_0186G	aminopeptidase (homolog to leucyl aminopeptidase/ aminopeptidase T)	VNG_0186G,VNG_RS00765,VNG0186G
VNG_0187H	uncharacterized protein	VNG_0187H,VNG_RS00770,VNG0187H
VNG_0188H	major facilitator superfamily transport protein	VNG_0188H,VNG_RS00775,VNG0188H
VNG_0189C	HD family hydrolase	VNG_0189C,VNG_RS00780,VNG0189C
VNG_0190C	putative tRNA 2-thiolation protein NcsA	VNG_0190C,VNG_RS00785,VNG0190C
VNG_0192G	cell division protein FtsZ, type II	VNG_0192G,VNG_RS00790,VNG0192G
VNG_0194H	CopG domain protein	VNG_0194H,VNG_RS00795,VNG0194H
VNG_0195H	DZR domain protein	VNG_0195H,VNG_RS00800,VNG0195H
VNG_0196H	uncharacterized protein (nonfunctional)	VNG_0196H,VNG_RS00810,VNG0196H
VNG_0197a	uncharacterized protein	VNG_0197a
VNG_0197C	UPF0104 family protein	VNG_0197C,VNG_RS00815,VNG0197C
VNG_0198H	uncharacterized protein	VNG_0198H,VNG_RS13255,VNG0198H
VNG_0199H	uncharacterized protein	VNG_0199H,VNG_RS00830,VNG0199H
VNG_0200a	uncharacterized protein	VNG_0200a,VNG_RS00840
VNG_0200C	uncharacterized protein	VNG_0200C,VNG_RS00835,VNG0200C
VNG_0204H	probable secreted glycoprotein	VNG_0204H,VNG_RS00845,VNG0204H
VNG_0205a	type IV pilus biogenesis complex ATPase subunit(C-term) (nonfunctional)	VNG_0205a,VNG_RS00855
VNG_0207H	uncharacterized protein	VNG_0207H,VNG_RS00860,VNG0207H
VNG_0208H	uncharacterized protein	VNG_0208H,VNG0208H
VNG_0209H	uncharacterized protein	VNG_0209H,VNG_RS00870,VNG0209H
VNG_0210H	insertion element protein (ISH2)	VNG_0210H,VNG_0994H,VNG_1007H,VNG_1651H,VNG_7071a,VNG_7073a,VNG_7136a,VNG_7138a,VNG_6093H,VNG_6098H,VNG_6141H,VNG_6146H,VNG_6391H,VNG_RS13920,VNG_RS13950,VNG_RS13955,VNG_RS13975,VNG_RS14080,VNG_RS14090,VNG_RS14115,VNG_RS14120,VNG_RS14020,VNG_RS14030,VNG_RS14045,VNG_RS14050,VNG_RS14065,VNG0210H,VNG0994H,VNG1007H,VNG1651H,VNG5096H,VNG5101H,VNG5198H,VNG5201H,VNG6093H,VNG6098H,VNG6141H,VNG6146H,VNG6391H
VNG_0212H	uncharacterized protein (N-term) (nonfunctional)	VNG_0212H,VNG_RS13265,VNG0212H
VNG_0213a	uncharacterized protein (N-term) (nonfunctional)	VNG_0213a,VNG_RS13270
VNG_0213H	ISH11-type transposase	VNG_0213H,VNG_1587H,VNG_7036,VNG_7173,VNG_6043H,VNG_6421H,VNG_6483H,VNG_RS00875,VNG_RS06170,VNG_RS12385,VNG_RS13110,VNG_RS10690,VNG_RS11995,VNG_RS12170,VNG0213H,VNG1587H,VNG5045H,VNG5252H,VNG6043H,VNG6421H,VNG6483H
VNG_0214C	uncharacterized protein	VNG_0214C,VNG_RS13925,VNG0214C
VNG_0215C	uncharacterized protein	VNG_0215C,VNG_RS00880,VNG0215C
VNG_0216H	uncharacterized protein	VNG_0216H,VNG_RS13930,VNG0216H
VNG_0217H	uncharacterized protein	VNG_0217H,VNG_RS00885,VNG0217H
VNG_0218G	type IV pilus biogenesis complex ATPase subunit	VNG_0218G,VNG_RS00890,VNG0218G
VNG_0219H	DUF4129 domain protein	VNG_0219H,VNG_RS00895,VNG0219H
VNG_0220H	uncharacterized protein	VNG_0220H,VNG_RS00900,VNG0220H
VNG_0222a	uncharacterized protein	VNG_0222a,VNG_RS00910
VNG_0222C	DUF11/DUF58 family protein	VNG_0222C,VNG_RS00905,VNG0222C
VNG_0223G	AAA-type ATPase (MoxR subfamily)	VNG_0223G,VNG_RS00915,VNG0223G
VNG_0226G	probable periplasmic serine protease	VNG_0226G,VNG_RS00925,VNG0226G
VNG_0227H	DUF192 family protein	VNG_0227H,VNG_RS00930,VNG0227H
VNG_0228G	GMP synthase (glutamine-hydrolyzing) subunit A	VNG_0228G,VNG_RS00935,VNG0228G
VNG_0230C	DUF2070 family protein	VNG_0230C,VNG_RS00940,VNG0230C
VNG_0231C	beta-lactamase domain protein	VNG_0231C,VNG_RS00945,VNG0231C
VNG_0233H	DUF3194 family protein	VNG_0233H,VNG_RS00950,VNG0233H
VNG_0234a	KEOPS complex subunit Pcc1	VNG_0234a,VNG_RS00960
VNG_0234C	prefoldin beta subunit	VNG_0234C,VNG_RS00955,VNG0234C
VNG_0237H	DNA-directed RNA polymerase subunit P	VNG_0237H,VNG_RS00965,VNG0237H
VNG_0238H	uncharacterized protein	VNG_0238H,VNG_RS00975,VNG0238H
VNG_0239C	50S ribosomal protein L43e	VNG_0239C,VNG_RS00970,VNG0239C
VNG_0240C	DUF2103 family protein	VNG_0240C,VNG_RS00980,VNG0240C
VNG_0243a	peptidyl-tRNA hydrolase	VNG_0243a,VNG_RS00990,VNG0240a
VNG_0243C	tRNA pseudouridine(13) synthase TruD	VNG_0243C,VNG_RS00985,VNG0243C
VNG_0244H	Yip1 domain protein	VNG_0244H,VNG_RS00995,VNG0244H
VNG_0245G	dCTP deaminase	VNG_0245G,VNG_RS01000,VNG0245G
VNG_0247C	transcription regulator ThiR	VNG_0247C,VNG_RS01005,VNG0247C
VNG_0248C	uncharacterized protein	VNG_0248C,VNG_RS01010,VNG0248C
VNG_0249G	DUF5059 domain / halocyanin domain protein HcpG	VNG_0249G,VNG_RS01015,VNG0249G
VNG_0250C	4-phosphopantoate--beta-alanine ligase	VNG_0250C,VNG_RS01020,VNG0250C
VNG_0251C	pantoate kinase	VNG_0251C,VNG_RS01025,VNG0251C
VNG_0252C	(S)-3-O-geranylgeranylglyceryl phosphatesynthase 1	VNG_0252C,VNG_RS01030,VNG0252C
VNG_0254G	transcription initiation factor TFB	VNG_0254G,VNG_RS01035,VNG0254G
VNG_0255C	ribonuclease H, type 1	VNG_0255C,VNG_RS01040,VNG0255C
VNG_0256H	uncharacterized protein	VNG_0256H,VNG_RS01045,VNG0256H
VNG_0258H	PadR family transcription regulator RosR	VNG_0258H,VNG_RS01050,VNG0258H
VNG_0259G	inorganic pyrophosphatase	VNG_0259G,VNG_RS01055,VNG0259G
VNG_0261H	uncharacterized protein	VNG_0261H,VNG0261H
VNG_0262C	DHH/RecJ family phosphoesterase	VNG_0262C,VNG_RS01060,VNG0262C
VNG_0264H	probable phosphodiesterase	VNG_0264H,VNG_RS01065,VNG0264H
VNG_0265G	FtsZ family protein CetZ, type III	VNG_0265G,VNG_RS01070,VNG0265G
VNG_0266H	uncharacterized protein	VNG_0266H,VNG_RS01075,VNG0266H
VNG_0267H	homolog to NAD-dependent epimerase/dehydratase	VNG_0267H,VNG_RS01080,VNG0267H
VNG_0268C	probable oxidoreductase (aldo-keto reductasefamily protein)	VNG_0268C,VNG_RS01085,VNG0268C
VNG_0270C	major facilitator superfamily transport protein	VNG_0270C,VNG_RS01090,VNG0270C
VNG_0271C	probable glycosyltransferase, type 2	VNG_0271C,VNG_RS01095,VNG0271C
VNG_0272H	uncharacterized protein	VNG_0272H,VNG_RS01100,VNG0272H
VNG_0274C	NUDIX family hydrolase	VNG_0274C,VNG_RS01105,VNG0274C
VNG_0277a	uncharacterized protein	VNG_0277a,VNG_RS01115
VNG_0277G	probable flavin containing oxidoreductase(homolog to phytoene desaturase / monoamine oxidase)	VNG_0277G,VNG_RS01110,VNG0277G
VNG_0280a	uncharacterized protein	VNG_0280a,VNG_RS13935
VNG_0280H	spurious ORF	VNG_0280H,VNG0280H
VNG_0281G	FAD-dependent oxidoreductase	VNG_0281G,VNG_RS01120,VNG0281G
VNG_0282a	uncharacterized protein	VNG_0282a,VNG_RS01130
VNG_0282H	small CPxCG-related zinc finger protein	VNG_0282H,VNG_RS14160,VNG0282H
VNG_0283C	Hsp20-type molecular chaperone	VNG_0283C,VNG_RS01125,VNG0283C
VNG_0284C	radical SAM domain protein	VNG_0284C,VNG_RS01135,VNG0284C
VNG_0285C	IS200-type transposase ISH22	VNG_0285C,VNG_RS01140,VNG0285C
VNG_0286C	IS1341-type transposase ISH22	VNG_0286C,VNG_RS01145,VNG0286C
VNG_0287a	TRAM domain protein	VNG_0287a,VNG_RS01150,VNG0287a
VNG_0287H	spurious ORF	VNG_0287H,VNG0287H
VNG_0289H	uncharacterized protein	VNG_0289H,VNG_RS01155,VNG0289H
VNG_0291H	beta-lactamase domain protein	VNG_0291H,VNG_RS01160,VNG0291H
VNG_0293H	NP_1176A family transcription regulator	VNG_0293H,VNG_RS01165,VNG0293H
VNG_0294G	probable S-adenosylmethionine-dependentmethyltransferase	VNG_0294G,VNG_RS01170,VNG0294G
VNG_0296H	probable glycosyltransferase, type 2	VNG_0296H,VNG_RS01175,VNG0296H
VNG_0297H	amidohydrolase domain protein	VNG_0297H,VNG_RS01180,VNG0297H
VNG_0298H	UPF0126 family protein	VNG_0298H,VNG_RS01185,VNG0298H
VNG_0300C	S-adenosylmethionine hydroxideadenosyltransferase family protein	VNG_0300C,VNG_RS01190,VNG0300C
VNG_0301C	nicotinamide-nucleotide adenylyltransferase	VNG_0301C,VNG_RS01195,VNG0301C
VNG_0303G	ATP-dependent protease Lon	VNG_0303G,VNG_RS01200,VNG0303G
VNG_0305G	indole-3-glycerol-phosphate synthase	VNG_0305G,VNG_RS01210,VNG0305G
VNG_0306C	probable methylated-DNA--protein-cysteinemethyltransferase	VNG_0306C,VNG_RS01205,VNG0306C
VNG_0307G	tryptophan synthase beta subunit	VNG_0307G,VNG_RS01215,VNG0307G
VNG_0308G	tryptophan synthase alpha subunit	VNG_0308G,VNG_RS01220,VNG0308Gm
VNG_0309C	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonatesynthase / fructose-bisphosphate aldolase	VNG_0309C,VNG_RS01225,VNG0309C
VNG_0310C	3-dehydroquinate synthase, type II	VNG_0310C,VNG_RS01235,VNG0310C
VNG_0311H	uncharacterized protein	VNG_0311H,VNG_RS01230,VNG0311H
VNG_0312H	small CPxCG-related zinc finger protein	VNG_0312H,VNG_RS01240,VNG0312H
VNG_0314G	3-dehydroquinate dehydratase	VNG_0314G,VNG_RS01245,VNG0314G
VNG_0315G	transcription initiation factor TFB	VNG_0315G,VNG_RS01250,VNG0315G
VNG_0316C	ABC-type transport system periplasmic substrate-binding protein (probable substrateiron/cobalamin)	VNG_0316C,VNG_RS01255,VNG0316C
VNG_0318G	glycosyltransferase AglD	VNG_0318G,VNG_RS01260,VNG0318G
VNG_0319H	uncharacterized protein	VNG_0319H,VNG_RS01265,VNG0319H
VNG_0320H	HTH domain protein	VNG_0320H,VNG_RS01270,VNG0320H
VNG_0321G	stomatin family protein	VNG_0321G,VNG_RS01275,VNG0321G
VNG_0322H	NfeD domain protein	VNG_0322H,VNG_RS01280,VNG0322H
VNG_0323H	uncharacterized protein	VNG_0323H,VNG_RS14165,VNG0323H
VNG_0324G	pyruvate kinase	VNG_0324G,VNG_RS01285,VNG0324G
VNG_0326G	methionine--tRNA ligase	VNG_0326G,VNG_RS01290,VNG0326G
VNG_0327G	aspartate 1-decarboxylase	VNG_0327G,VNG_RS01295,VNG0327G
