representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_0094C	Undefined	COG1326	Uncharacterized archaeal Zn-finger protein	General function prediction only	Undefined
VNG_0095G	GapA	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Carbohydrate transport and metabolism	Glycolysis
VNG_0096C	AmpS	COG2309	Leucyl aminopeptidase (aminopeptidase T)	Amino acid transport and metabolism	Undefined
VNG_0097G	IbpA	COG0071	Small heat shock protein IbpA, HSP20 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0098G	LysX	COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	Amino acid transport and metabolism	Lysine biosynthesis
VNG_0099G	RplP	COG0197	Ribosomal protein L16/L10AE	Translation, ribosomal structure and biogenesis	Ribosome 50S subunit
VNG_0101G	CspC	COG1278	Cold shock protein, CspA family	Transcription	Undefined
VNG_0102C	Gph	COG0546	Phosphoglycolate phosphatase, HAD superfamily	Energy production and conversion	Undefined
VNG_0104G	SerA	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	Coenzyme transport and metabolism	Serine biosynthesis
VNG_0106G	HsdM	COG0286	Type I restriction-modification system, DNA methylase subunit	Defense mechanisms	Undefined
VNG_0107G	HsdS	COG0732	Restriction endonuclease S subunit	Defense mechanisms	Undefined
VNG_0108G	Undefined	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	Defense mechanisms	Undefined
VNG_0110C	YgjP	COG1451	UTP pyrophosphatase, metal-dependent hydrolase family	General function prediction only	Undefined
VNG_0113H	DmsR	COG3413	Predicted transcriptional regulator, contains HTH domain	General function prediction only	Undefined
VNG_0115G	YdfG	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Energy production and conversion	Pyrimidine degradation
VNG_0121H	Undefined	COG1430	Uncharacterized conserved membrane protein, UPF0127 family	Function unknown	Undefined
VNG_0123G	MdlB	COG1132	ABC-type multidrug transport system, ATPase and permease component	Defense mechanisms	Undefined
VNG_0124C	ArfB	COG1402	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis
VNG_0127C	MptD	COG2098	7,8-dihydroneopterin aldolase MptD (tetrahydrofolate and tetrahydromethanopterin biosynthesis)	Coenzyme transport and metabolism	Undefined
VNG_0128C	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0129G	HtpX	COG0501	Zn-dependent protease with chaperone function	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0133G	RFA1	COG1599	ssDNA-binding replication factor A, large subunit	Replication, recombination and repair	Undefined
VNG_0134G	HHT1	COG2036	Archaeal histone H3/H4	Chromatin structure and dynamics	Undefined
VNG_0136G	AcuC	COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_0137G	CCA1	COG1746	tRNA nucleotidyltransferase (CCA-adding enzyme)	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_0142C	Undefined	COG3355	Predicted transcriptional regulator	Transcription	Undefined
VNG_0144H	Undefined	COG3439	Uncharacterized conserved protein, DUF302 family	Function unknown	Undefined
VNG_0147C	NikR	COG0864	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain	Transcription	Undefined
VNG_0149G	ZntA	COG2217	Cation-transporting P-type ATPase	Inorganic ion transport and metabolism	Undefined
VNG_0152G	Sco1	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0154G	Lpd	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	Energy production and conversion	Glycine cleavagePyruvate oxidation
VNG_0156C	DmsR	COG3413	Predicted transcriptional regulator, contains HTH domain	General function prediction only	Undefined
VNG_0158G	RbsK	COG0524	Sugar or nucleoside kinase, ribokinase family	Carbohydrate transport and metabolism	Glycolysis
VNG_0159G	MutL	COG0323	DNA mismatch repair ATPase MutL	Replication, recombination and repair	Undefined
VNG_0160G	PAS|GAF|DmsR	COG2202|COG2203|COG3413	PAS domain|GAF domain|Predicted transcriptional regulator, contains HTH domain	Signal transduction mechanisms|General function prediction only	Undefined
VNG_0161G	GdhA	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	Amino acid transport and metabolism	Glutamine biosynthesis
VNG_0162G	MenE/FadK	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	Lipid transport and metabolism	Menaquinone biosynthesis
VNG_0163G	MutS	COG0249	DNA mismatch repair ATPase MutS	Replication, recombination and repair	Undefined
VNG_0164G	HypE	COG0309	Carbamoyl dehydratase HypE (hydrogenase maturation factor)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0166G	PRE1	COG0638	20S proteasome, alpha and beta subunits	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0170C	FrnE	COG2761	Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0171C	NucS	COG1637	Endonuclease NucS, RecB family	Replication, recombination and repair	Undefined
VNG_0172G	MutS	COG0249	DNA mismatch repair ATPase MutS	Replication, recombination and repair	Undefined
VNG_0174G	PotE	COG0531	Serine transporter YbeC, amino acid:H+ symporter family	Amino acid transport and metabolism	Undefined
VNG_0175G	TrkA	COG0569	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	Inorganic ion transport and metabolism	Undefined
VNG_0176H	MnaT	COG1247	L-amino acid N-acyltransferase MnaT	Amino acid transport and metabolism	Undefined
VNG_0177G	RPL15A	COG1632	Ribosomal protein L15E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_0179C	RIO2	COG0478	RIO-like serine/threonine protein kinase fused to N-terminal HTH domain	Signal transduction mechanisms	Undefined
VNG_0180G	Undefined	COG5524	Bacteriorhodopsin	Energy production and conversion	Undefined
VNG_0181G	LplA	COG0095	Lipoate-protein ligase A	Coenzyme transport and metabolism	Lipoate biosynthesis
VNG_0183G	Nfo	COG0648	Endonuclease IV	Replication, recombination and repair	Undefined
VNG_0186G	AmpS	COG2309	Leucyl aminopeptidase (aminopeptidase T)	Amino acid transport and metabolism	Undefined
VNG_0189C	YdhJ	COG1078	HD superfamily phosphohydrolase	General function prediction only	Undefined
VNG_0190C	TilS	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_0192G	FtsZ	COG0206	Cell division GTPase FtsZ	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0209H	XerD	COG4974	Site-specific recombinase XerD	Replication, recombination and repair	Undefined
VNG_0215C	Undefined	COG4983	Primase-polymerase (Primpol) domain protein	Mobilome: prophages, transposons	Undefined
VNG_0222C	YeaD2	COG1721	Uncharacterized conserved protein, DUF58 family, contains vWF domain	Function unknown	Undefined
VNG_0223G	MoxR	COG0714	MoxR-like ATPase	General function prediction only	Cobalamine/B12 biosynthesis
VNG_0226G	DegQ	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0227H	Undefined	COG1430	Uncharacterized conserved membrane protein, UPF0127 family	Function unknown	Undefined
VNG_0228G	GuaA1	COG0518	GMP synthase, glutamine amidotransferase domain	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0230C	Undefined	COG3356	Predicted membrane-associated lipid hydrolase, neutral ceramidase superfamily	Lipid transport and metabolism	Undefined
VNG_0231C	GloB	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	General function prediction only	Undefined
VNG_0234a	Pcc1	COG2892	tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_0234C	GimC	COG1382	Prefoldin, chaperonin cofactor	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0237H	RPC10	COG1996	DNA-directed RNA polymerase, subunit RPC12/RpoP, contains C4-type Zn-finger	Transcription	RNA polymerase
VNG_0239C	RPL43A	COG1997	Ribosomal protein L37AE/L43A	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_0240C	Undefined	COG4031	Uncharacterized metal-binding protein, DUF2103 family	Function unknown	Undefined
VNG_0243a	Pth2	COG1990	Peptidyl-tRNA hydrolase	Translation, ribosomal structure and biogenesis	Undefined
VNG_0243C	TruD	COG0585	tRNA(Glu) U13 pseudouridine synthase TruD	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_0245G	Dcd	COG0717	dCTP deaminase	Nucleotide transport and metabolism	Thymidylate biosynthesis
VNG_0247C	Undefined|AF0184	COG1992|COG2522	Predicted transcriptional regulator fused phosphomethylpyrimidine kinase (thiamin biosynthesis)|Predicted transcriptional regulator, contains XRE-type HTH domain	General function prediction only|Transcription	Undefined
VNG_0249G	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_0250C	aPPS	COG1701	Archaeal phosphopantothenate synthetase	Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis
VNG_0251C	Undefined	COG1829	Archaeal pantoate kinase	Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis
VNG_0252C	PcrB	COG1646	Glycerol-1-phosphate heptaprenyltransferase	Lipid transport and metabolism	Undefined
VNG_0254G	SUA7	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	Transcription	Undefined
VNG_0255C	RnhA	COG0328	Ribonuclease HI	Replication, recombination and repair	Undefined
VNG_0259G	Ppa	COG0221	Inorganic pyrophosphatase	Energy production and conversion	Undefined
VNG_0262C	NrnA	COG0618	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	Nucleotide transport and metabolism	Undefined
VNG_0264H	Undefined	COG3379	Predicted phosphohydrolase or phosphomutase, AlkP superfamily	General function prediction only	Undefined
VNG_0265G	FtsZ	COG0206	Cell division GTPase FtsZ	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0267H	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0268C	PdxI	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	Coenzyme transport and metabolism	Undefined
VNG_0270C	AraJ	COG2814	Predicted arabinose efflux permease AraJ, MFS family	Carbohydrate transport and metabolism	Undefined
VNG_0274C	MutT	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	Defense mechanisms	Undefined
VNG_0277G	Undefined	COG3349	Uncharacterized protein, contains NAD-binding domain and a Fe-S cluster	General function prediction only	Undefined
VNG_0281G	DadA	COG0665	Glycine/D-amino acid oxidase (deaminating)	Amino acid transport and metabolism	Undefined
VNG_0283C	IbpA	COG0071	Small heat shock protein IbpA, HSP20 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0284C	TM1601	COG1031	Radical SAM superfamily enzyme with C-terminal helix-hairpin-helix motif	General function prediction only	Undefined
VNG_0285C	RAYT	COG1943	REP element-mobilizing transposase RayT	Mobilome: prophages, transposons	Undefined
VNG_0286C	InsQ	COG0675	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0287a	Undefined	COG3269	Predicted RNA-binding protein, contains TRAM domain	General function prediction only	Undefined
VNG_0291H	GloB	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	General function prediction only	Undefined
VNG_0297H	LigW	COG2159	5-carboxyvanillate decarboxylase LigW (lignin degradation), amidohydro domain	Carbohydrate transport and metabolism	Undefined
VNG_0298H	YadS	COG2860	Uncharacterized membrane protein YeiH	Function unknown	Undefined
VNG_0300C	Undefined	COG1912	Stereoselective (R,S)-S-adenosylmethionine hydrolase (adenosine-forming)	Coenzyme transport and metabolism	Undefined
VNG_0301C	NadR	COG1056	Nicotinamide mononucleotide adenylyltransferase	Coenzyme transport and metabolism	NAD biosynthesis
VNG_0303G	LonB	COG1067	Predicted ATP-dependent protease	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0305G	TrpC	COG0134	Indole-3-glycerol phosphate synthase	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0307G	TrpB	COG0133	Tryptophan synthase beta chain	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0308G	TrpA	COG0159	Tryptophan synthase alpha chain	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0309C	FbaB	COG1830	Fructose-bisphosphate aldolase class Ia, DhnA family	Carbohydrate transport and metabolism	Glycolysis
VNG_0310C	AroB2	COG1465	3-dehydroquinate synthase, class II	Amino acid transport and metabolism	Undefined
VNG_0314G	AroD	COG0710	3-dehydroquinate dehydratase	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0315G	SUA7	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	Transcription	Undefined
VNG_0316C	FepB	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_0318G	AglD2	COG0392	Predicted membrane flippase AglD2/YbhN, UPF0104 family	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0320H	Undefined	COG3398	Predicted transcriptional regulator, contains two HTH domains	Transcription	Undefined
VNG_0321G	HflC	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0322H	YbbJ	COG1585	Membrane protein implicated in regulation of membrane protease activity	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0324G	PykF|PykA2	COG0469|COG3848	Pyruvate kinase|Phosphohistidine swiveling domain of PEP-utilizing enzymes	Carbohydrate transport and metabolism|Signal transduction mechanisms	Glycolysis|Undefined
VNG_0326G	EMAP|MetG	COG0073|COG0143	tRNA-binding EMAP/Myf domain|Methionyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Undefined|Aminoacyl-tRNA synthetases
VNG_0327G	GadA	COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	Amino acid transport and metabolism	Pantothenate/CoA biosynthesis
VNG_0329G	HtpX	COG0501	Zn-dependent protease with chaperone function	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0330G	PpsA	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	Carbohydrate transport and metabolism	Gluconeogenesis
VNG_0332C	YHI9	COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily	General function prediction only	Undefined
VNG_0335G	Hpt1	COG2236	Hypoxanthine phosphoribosyltransferase	Coenzyme transport and metabolism	Purine salvage
VNG_0340C	ScpA	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	Replication, recombination and repair	Undefined
VNG_0342G	Smc	COG1196	Chromosome segregation ATPase Smc	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0345G	GatB	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_0349G	TopA|YrdD	COG0550|COG0551	DNA topoisomerase IA|DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains	Replication, recombination and repair	Undefined
VNG_0351C	NreA	COG1602	Archaeal DNA repair protein NreA	Replication, recombination and repair	Undefined
VNG_0361C	GlpG|CUZ1	COG0705|COG3582	Membrane-associated serine protease, rhomboid family|CDC48-associated ubiquitin-like protein CUZ1, contains AN1-type Zn-finger (protection from As/Sb toxicity)	Posttranslational modification, protein turnover, chaperones|Defense mechanisms	Undefined
VNG_0363G	Nfi	COG1515	Deoxyinosine 3'-endonuclease (endonuclease V)	Replication, recombination and repair	Undefined
VNG_0364G	YdfG	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Energy production and conversion	Pyrimidine degradation
VNG_0365G	ArsA	COG0003	Anion-transporting ATPase, ArsA/GET3 family	Inorganic ion transport and metabolism	Undefined
VNG_0367H	YesE	COG3631	Ketosteroid isomerase-related protein	General function prediction only	Undefined
VNG_0368C	PncC	COG1546	Nicotinamide mononucleotide (NMN) deamidase PncC	Coenzyme transport and metabolism	NAD biosynthesis
VNG_0370H	YciV	COG0613	5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain	Nucleotide transport and metabolism	Undefined
VNG_0371G	CaiA	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0374G	NusG	COG0250	Transcription termination/antitermination protein NusG	Transcription	Undefined
VNG_0375G	Sss1	COG2443	Preprotein translocase subunit Sss1	Intracellular trafficking, secretion, and vesicular transport	Undefined
VNG_0376G	FtsZ	COG0206	Cell division GTPase FtsZ	Cell cycle control, cell division, chromosome partitioning	Undefined
VNG_0378C	Undefined	COG1650	D-tyrosyl-tRNA(Tyr) deacylase	Translation, ribosomal structure and biogenesis	Undefined
VNG_0380G	ECM27	COG0530	Ca2+/Na+ antiporter	Inorganic ion transport and metabolism	Undefined
VNG_0382G	AroE	COG0169	Shikimate 5-dehydrogenase	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0383H	H3TH	COG3743	Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain	Replication, recombination and repair	Undefined
VNG_0384G	TrpE	COG0147	Anthranilate/para-aminobenzoate synthases component I	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0386G	PabA	COG0512	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	Amino acid transport and metabolism	Aromatic amino acid biosynthesis
VNG_0387G	IlvE	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Amino acid transport and metabolism	Isoleucine, leucine, valine biosynthesis
VNG_0388C	NirD	COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	Inorganic ion transport and metabolism	Undefined
VNG_0389C	Undefined	COG3357	Predicted transcriptional regulator, contains HTH and Zn-ribbon domains	Transcription	Undefined
VNG_0390G	GCD1	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	Translation, ribosomal structure and biogenesis	Undefined
VNG_0391C	Dph6	COG2102	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	Translation, ribosomal structure and biogenesis	Undefined
VNG_0393C	Undefined	COG2237	Uncharacterized membrane protein	Function unknown	Undefined
VNG_0394C	Undefined	COG1340	Uncharacterized coiled-coil protein, contains DUF342 domain	Function unknown	Undefined
VNG_0396C	Undefined	COG2090	Uncharacterized conserved protein, DUF371 domain	Function unknown	Undefined
VNG_0398G	Nth	COG0177	Endonuclease III	Replication, recombination and repair	Undefined
VNG_0401G	Undefined	COG1782	Predicted metal-dependent RNase, contains metallo-beta-lactamase and KH domains	General function prediction only	Undefined
VNG_0403G	ProS	COG0442	Prolyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_0405C	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0406C	GldA	COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	Energy production and conversion	Isoprenoid biosynthesis
VNG_0409C	DAP2	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	Amino acid transport and metabolism	Undefined
VNG_0410G	RfaB	COG0438	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0412G	FolC|FolP	COG0285|COG0294	Folylpolyglutamate synthase/Dihydropteroate synthase|Dihydropteroate synthase	Coenzyme transport and metabolism	Folate biosynthesis
VNG_0414G	PurH	COG0138	AICAR transformylase/IMP cyclohydrolase PurH	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0415G	PurB	COG0015	Adenylosuccinate lyase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0417H	Undefined	COG2129	Predicted phosphoesterase, related to the Icc protein	General function prediction only	Undefined
VNG_0419C	LabA	COG1432	NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation	General function prediction only	Undefined
VNG_0421C	ArcTGT	COG1370	tRNA-guanine transglycosylase, archaeosine-15-forming, contains TGT and PUA domains	Translation, ribosomal structure and biogenesis	Undefined
VNG_0422G	CypX	COG2124	Cytochrome P450	Secondary metabolites biosynthesis, transport and catabolism	Biotin biosynthesis
VNG_0424C	EGD2	COG1308	Transcription factor homologous to NACalpha-BTF3	Transcription	Undefined
VNG_0425G	Gcd14	COG2519	tRNA A58 N-methylase Trm61	Translation, ribosomal structure and biogenesis	tRNA modification
VNG_0426G	RPB9	COG1594	DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS	Transcription	RNA polymerase
VNG_0428G	CaiD	COG1024	Enoyl-CoA hydratase/carnithine racemase	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0431G	MutT	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	Defense mechanisms	Undefined
VNG_0433C	RpsJ	COG0051	Ribosomal protein S10	Translation, ribosomal structure and biogenesis	Ribosome 30S subunit
VNG_0436G	NhaC	COG1757	Na+/H+ antiporter NhaC/MleN	Energy production and conversion	Undefined
VNG_0437C	AbgB	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	General function prediction only	Lysine biosynthesis
VNG_0438G	Fdx	COG0633	Ferredoxin	Energy production and conversion	Undefined
VNG_0439C	FixC	COG0644	Dehydrogenase (flavoprotein)	Energy production and conversion	Undefined
VNG_0440C	GloB|PspE	COG0491|COG0607	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II|Rhodanese-related sulfurtransferase	General function prediction only|Inorganic ion transport and metabolism	Undefined|Urea cycle
VNG_0442G	RspA	COG4948	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	Cell wall/membrane/envelope biogenesis	Non-phosphorylated Entner-Doudoroff pathway
VNG_0444G	DapA	COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	Amino acid transport and metabolism	Lysine biosynthesis
VNG_0446G	Tdh	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	Amino acid transport and metabolism	Non-phosphorylated Entner-Doudoroff pathway
VNG_0447H	Cof	COG0561	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Coenzyme transport and metabolism	Undefined
